Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
,media/4back.jpg,,,"It was a cold & rainy afternoon. The Bower had been set up, we had used the old tent with its heavy wooden poles & eccentric marking system. We, as Bower, were staying on the hill until the event began. As we huddled together in the tent we shared cups of hot lady grey tea made over a tiny camping stove (safely). We sang songs & held that space together despite the elements.<br>
A.D.F.
<br> <br>
As the wheel turns, so do we grow & learn. So we can begin again.
",18,Plain,,,55.9547662,-3.181392394,,,,
,media/21back.jpg,,,"I remember coming up the hill with other Stewards, excitement rising, the hill opening up before us. We paused for a moment to catch our breath, when a wink of white caught my eye. I had only just learned to recognise hawthorn, herald of summer and symbol of May, and here were the first blossoms of the season, joining us in welcoming everyone to the hill, to the celebration about to begin, and to summer.<br>
Lu
",18,Plain,21_gold,,55.95437606,-3.183707486,,,,
,media/1back.jpg,,,"Most of my favourite memories from past Beltanes have come from the moment before the festival begins. You can feel the energy, excitement and electricity in the air. But there is also a sense of calm. <br>
My favourite was Beltane 2019 as a beastie. We watched the sunset then headed over to our starting point and got into a cuddle puddle where we lie covered in cloaks. We were lying there for a long time that year and I was so cosy and warm and calm that I actually fell asleep for about 10-15 minutes only waking up when fire cans were lit by tech (after neid fire) and the call horn sounded. I fell asleep as myself + woke up a Beastie.<br>
Hannah
",18,Plain,,,55.95447132,-3.180970668,,,,
,media/SleepingRedsBeasties2019_Gladys Yelland.jpg,Gladys Yelland for Beltane Fire Society,https://beltanefiresociety.piwigo.com/picture?/39558/category/243-festival,Sleeping Beasties ,,Hidden,,,,,,,,
The Acropolis,media/11back.jpg,,,"Anyone who has been in Court - Callhorn, Green, White, Queen, Blue, Pros, Nightwatch, Neidfire - knows the incredibly intense feeling of coming over the ‘Acropolis’ as the sun goes down at the very beginning of the ritual. I relive that moment every year I am present and I hear one of Beltane’s iconic drum pieces - Acropolis 7s. <br>
Rob Thorburn",17,Hidden,,National Monument of Scotland,55.95477657,-3.181909211,,,,
,media/17back.jpg,,,"Dear Beltane, <br>As the sun began to set on Beltane night, we came to a stop behind the Acropolis, awaiting the lighting of the Neidfire. I stood with my sisters and brothers; white-clad warriors there to protect and share the joy of a new spring with our Queen. I had felt my sense of self slowly drifting to sleep on the procession across Holyrood Green, through the town, and up the hill, to this point, in a still and tense limbo, in the shadow of the Folly’s columns. I had felt my White - this stoic warrior that had always felt a little bit like a pretence, - come closer and closer, until that moment. It took so long for things on the other side from us to happen. We stood there, four handmaidens, around the May Queen, and I felt like iron, like stone, like an immovable object, devoted to my Goddess, but there was still a part of me that felt as I always had - uncertain, afraid, elated, bubbling over with anticipation, and terrified that my body would fail me, collapse underneath me, fall off that high stone monument, and whatever else I could picture. <br>And I said to myself, in a scared voice: “My legs hurt… what if I fall?” <br>And a voice answered back: “Then we will use my legs.” <br>And it was like that last part of me that was fragile, and afraid, fell asleep. And my White held me, safe in the back of my mind, while she strode forth, and protected, and fought, and fell in love, and gave me a Spring to wake up in.",18,Plain,17_gold,,55.95467936,-3.181834526,,,,
,media/25back.jpg,,,"Standing, ready, on the night<br>
Rising moon + stars a-light<br>
Suddenly, just to my right -<br>
A little bit of gorse.<br><br>

Calling to me like a song<br>
Breaking off a twig felt wrong<br>
Focused mind but heart that longed -<br>
        For a little bit of gorse.<br><br>

Solemn task was rightly seized<br>
But the kindly wind, on gentle breeze<br>
Send a wondrous gift to me -<br>
        A little sprig of gorse.<br><br>

I can’t explain why my soul thrilled<br>
In ivy crown, a place it filled<br>
And so we journeyed round the hill -<br>
        Me and my sprig of gorse.<br><br>

It stayed with me, I have it still<br>
At every glance, I feel the hill<br>
A night I loved and always will<br>
        With fire and stones<br>
        And hearts and bones…<br>
                And a little spring of gorse.<br>
Polly
",18,Plain,,,55.95466963,-3.18132076,,,,
Neid Fire,media/8back.jpg,,,"Sitting behind the acropolis, waiting for the smell of, and a small wisp of ember catching. Watching a tiny flicker become a decided glow and then pass back, torch to torch until you become one of the bearers of the festival’s fire.
One step over the acropolis, then another and in a blink you’re done and both overwhelmed and list in a sea of celebration, joy and belonging.<br>
Nate
",18,Plain,8_gold,,55.95481219,-3.181684131,,,,
,media/CourtNeidfire2016_Neil Barton.jpg,Neil Barton for Beltane Fire Society,https://beltanefiresociety.piwigo.com/picture?/17440/category/126-festival,Lighting of the Neid Fire,,Hidden,,,,,,,,
Acropolis 7s,media/9back.jpg,,,"Dear Beltane,<br>
Oh, how I miss standing in my wee hi-vis vest at the front of the Acropolis. That sweet spot at the head of the D, on the far side of a sacred space, and yet in the very heart of it all.<br>
Hark now!<br>
The snare begins its lonely roll and time… draws out… one and then another joins in until full power is reached. Soon, they will head out together into the dark. 
",18,Plain,9,,55.95469085,-3.182150034,,,,
,media/final sevens 1.mp3,,,Acropolis 7s,,,,,,,,,,
,media/18back.jpg,,,"It was cold, but I couldn’t feel it, only see it, in our breath. We had flashing grins of white against the dark, against the dark paint, against the growing excitement. I’d watched the drums for a couple of years, awestruck. Idolised them, let’s be honest. Auditioning is still a moment that I use in job interviews as a time when I felt the fear and did it anyway. My brain regularly had me feeling I shouldn’t be there, but my group taught + encouraged + pushed, + now I was walking over the Acropolis, greeted by a hundred camera flashes, and an anticipation I could taste. And then I looked down & my hands were drumming, drumming, drumming… 
",18,Plain,,,55.95482249,-3.181919233,,,,
,media/7back.jpg,,,"My fondest memory of Beltane is actually my first! Attending as a teenager with a few friends, I had no idea what to expect as we gathered in the large crowd. Then suddenly there was this silence before a horn was blown, fire appeared on the Acropolis as if from nowhere, and drums filled the air! I was hooked within the 1st minute!
",18,Plain,7_gold,,55.95484782,-3.182068035,,,,
Unsæli,media/6back.jpg,,,"I remember Beltane night, 2019. The Unsæli already having tested our May Queen and happy that she did not turn right, we ran to the Dell, to try the same thing for the Green Man. I remember the feeling of joy at racing into the front of the procession and dancing away with the Green Man - and the pride as he saw his time with us was done and returned to his sacred journey.<br>
Stew",18,Plain,6,,55.95439473,-3.18196845,,,,
,media/UnsaelieGreenMan2019_Gordon Veitch.jpg,Gordon Veitch for Beltane Fire Society,https://beltanefiresociety.piwigo.com/picture?/39178/category/243-festival,Unsæli playing for the Green Man,,Hidden,,,,,,,,
Fire Arch,media/Fire Arch_Bartlomiej Pyrz.jpg,Bartlomiej Pryz for Beltane Fire Society,,"Dear Beltane, <br>
If I had to pick a spot to encapsulate my personal Beltane story… it would be Fire Arch.<br>
When I first stumbled upon Beltane 2015 as a witness, I didn’t know what to expect. Squinting at a map I got from the entrance, I realized my group wouldn’t make it to the Acropolis in time. So instead we tried to get ahead to intercept the procession at the Fire Arch. After hearing but not seeing the Acropolis drumming and the lighting of the Neid Fires, we waited for the procession. Somehow, we ended up front row right after the May Queen and Whites passed through the Arch, keening with all their hearts. I suddenly felt like I was alone witnessing this outpouring of grief and emotion instead of in a crowd. The rest of that amazing night passed in a blur because I was so affected by it.<br>
I joined Beltane the next year and joined Fire Arch as a fire-spinner. We made a small, tight group of spinners and I got to try so many brand new skills – fire, acro, character work. My memorable moment of that festival was making a pyramid under the arch as it lit up – only to realise when the pyrotechnics went off that we were getting showered with ash and yet had to stay stoic! That was the final year of the “old” Fire Arch Design, as it lasted just about until the procession made it through then warped so much from use that it couldn’t be safely reassembled! That year the Arch only stayed up because of the hopes and dreams and hard sweat of Tech.<br>
The year after, in 2017, I felt ready and called to join the Whites. Now I was one of those powerful, beautiful beings that keened out as they passed through the Arch. I hadn’t realised the full significance as a witness but now I learned about holding the grief of a community and showing it by keening for those who couldn’t express it themselves. The next year I was one of the White GOs, at the head of the procession keening once more. This time I shrieked with all of my soul, tears were welling up in my eyes. I felt like I was being gutted but I also felt the incredible space that we were creating and holding for those in the area. It’s truly a magical spot. No matter what I do in Beltane or how many other special places there are… for me, Fire Arch is truly the place where I feel closest to the Beltane Festival.<br>
With love from Hannah x<br><br>
<i>This fire arch was decommissioned after this festival as
 despite the valiant attempts of tech, over the years it had become 
warped by heat and didn't contain spent debris (cold ash and residue) as
 well as it used to.<br>Beltane
 tech are our experienced heroes in red boiler suits. They continually 
assess risk and ensure the safety of our performers and members of the 
public. As a result of tech presence, no one was injured by the incident
 mentioned</i>",18,Plain,24,,55.95441694,-3.181312586,,,,
,media/16back.jpg,,,"Hi from Spain!<br>
My 6 friends and I were at BFF in 2019 and we wore small cat ears because we all love nature, animals and cats in particular and decided to wear on that night those little cat ears as hair-band, as a tribute to these magical animals on a magical night.<br>
Maite, Nina, Pepa, Antuna, Isabel and Nelly
",18,Plain,16_gold,,55.95446731,-3.181184272,,,,
Water,media/22back.jpg,,,"My 2018 Beltane was with the Kelpies. We crafted and brought Rannoch our Kelpie to life, developed our water language and dance. On Beltane we searched the hill in anger and despair for Rannochs lost bridle, witnesses young and old delighting at Rannoch’s proud form weaving through them in our search. When the May Queen visited Rannoch and gifted us with a new bridle, life, freedom, we all lit up with joy and dance. <br>
Charlie
",18,Plain,22_gold,,55.95532405,-3.181400735,,,,
,media/Kelpie_Gordon Veitch.jpg,Gordon Veitch for Beltane Fire Society,,The Kelpie with the May Queen,,,,,,,,,,
NO,media/20back.jpg,,,"Respect. Revere. Ridicule.<br>
There’s something about the NO that has always sat well with me, a “belonging outside belonging”. You are part of the Festival, part of the crowd, and also, NO. Well… maybe?<br> It’s the stacked layers of artifice and clownery that reveal something real and sincere.<br>
Before first drums, it’s welcoming everyone into the twilight of the hill, inviting them to come and play with us.
For the acropolis sequence, we revert to (mostly) quiet spectators. During the rest of it, we seek out the lulls on the hill and fill them with whimsy, playing with everyone who will have us.<br>
… and finally it’s retiring into a cuddle puddle on a comfy slope while the final battles are in full swing - watching, having a snack, or engaging in a ritually-significant nap. The sort where you wake up and it’s summer.<br>
Niki
",18,Plain,20_gold,,55.95535811,-3.183038275,,,,
,media/NO_MaciejMacDor.jpg,Maciej/MacDor for Beltane Fire Society,https://www.facebook.com/beltanefiresociety/photos/t.100000855614738/603184146366118/?type=3,NO point,,,,,,,,,,
Beasties,media/23back.jpg,,,"Dear Beltane, <br>
My memory is a short one, all about 'Pleasure', which as we all know is from the bass. <br>
It was 2018, after hanging up my Event Coordinator hard hat, I'd become a Beastie. After a rocky personal start, where I'd switched instruments due to a lack of confidence in my own 'shaking' abilities. I'd been given the honour of starting off, alone, the quintessential Beastie tune, 'Pleasure'. An honour indeed. <br>
It's one of those internal images you'll never let go of. Lindsey making eye contact with me, counting me in, the strike of my beaters and the shaking of my red toosh. Slowly, I turned to play and grin with the rest of my red family, laughing as red friends did silly things to the canon beside us. All the while, trying not to think about the fact my boss was standing in the crowd, cheering along with the rest. <br>
Love, <br>
Georgia 
",18,Plain,,The Portuguese Cannon,55.95457327,-3.183093232,,,,
Bonfire,media/12back.jpg,,,"Dear Beltane,<br>
My first Beltane - 2015 - and I was Event Coordinator. The bonfire had been lit, and I could sit down, at least for a short while. No one had died (big tick) except for the Green Man (who was supposed to), so all was well. A member of Tech, an old Blue, came up to me and said remember to take a moment and look around. Take five minutes, and enjoy it all. Sit and take in the thing you helped make. 
Wise words, and advice I have passed on. <br>
This is a beautiful thing that we make happen.<br>
Sara Thomas
",18,Plain,12_gold,,55.95534977,-3.182335912,,,,
,media/BonfireRed2019_AsierGoikoetxea.jpg,Asier Goikoetxea for Beltane Fire Society,https://beltanefiresociety.piwigo.com/picture?/38698/category/243-festival,Red joy at the bonfire,,,,,,,,,,
,media/15back.jpg,,,"“Beltane as Red” The Euphoria of PAN<br>
Being read as Red… Beltane 2019 was the most affirmed and supported I have ever felt by strangers, and most at home, euphoric in my own body. Was it the bodypaint? The acro? The fire? Sure, but one with nature was the people - sharing power, purpose, love.<br>
This is bonfire central, but on initiation 8 weeks before, I did not know that. In the wet cold darkness then I felt the first bonds of strong companions, mutual care, belonging and welcome as one here at the top of this ancient hill our group was ritually bound, The start of our journey where we learned to trust, to fly, to hold strong.<br>
On Beltane night we gathered once again in the dark this time at the blazing fire, for reprieve and reflection - just our red clad bodies in ceremony and respect for the Goddess drawing strength, calm, release from this fire we are all part of.<br>
Yesssssaa! To the fierce Reds and Beasties who welcomed me to the fold, and blessed be the GO’s and Whites who drew out my hidden natures. I shall continue to carry this Beltane flame wherever I go.
",18,Plain,15,,55.95557055,-3.182278168,,,,
Bower,media/19plusback.jpg,,,"In 2018, Eva, me, and the Bowerlings spent two mad days bedecking the Bower with leafy boughs, wildflowers, lights, sculptures, & rigging, before rushing to put on costumes and then bring the space to life & joy.<br>
At the end of the night, I sat weary near the foot of the May Queen’s throne, having made her and everyone else in the festival welcome under the trees. We watched the many painted figures begin to dance tenderly, lit by lanterns & flames & the full moon. I felt so so proud of having built & cared for a space where such a beautiful moment could happen: A brief leafy & twinkling haven for the community I adore.<br>
Daniel
",18,Plain,25_gold,,55.95491761,-3.181296879,,,,
,media/BowerDance2018_Martin McCarthy.jpg,Martin McCarthy for Beltane Fire Society,https://beltanefiresociety.piwigo.com/picture?/32874/category/198-festival,The Bower Dance,,,,,,,,,,
After,media/13back.jpg,,,"Memories of Cher & I washing our faces in the dew walking back down the hill with Pete & Nick. Pete no longer with us but we remember him on the hill at Beltane
",17,Hidden,,,,,,,,
Thank you,,,,"We hope you enjoyed this collection - we’ve been amazed by the number and breadth of responses that we received, and are so grateful to all the participants for sharing their stories. If you’re interested in learning more about Beltane Fire Festival, please visit <a href=”beltane.org”>our website</a>.",,,,,,,,,,
